Datum,Matchtyp,Omgång,Match,Resultat,Spelplats,Publik
20250205,Vänskapsmatch,N/A,IFK&nbspGöteborg – Brentford&nbspFC&nbspB,L 1–2 (1–1),Estádio&nbspAlgarve50,50
20250130,Vänskapsmatch,N/A,IFK&nbspGöteborg – Rosenborg&nbspBK,W 1–0 (1–0),Estádio&nbspAlgarve50,50
20250125,Vänskapsmatch,N/A,Lillestrøm&nbspSK –&nbspIFK&nbspGöteborg,L 2–0 (0–0),LSK-hallen1 500,1500
20241122,Vänskapsmatch,N/A,IK&nbspOddevold –&nbspIFK&nbspGöteborg,W 1–2 (0–1),Arwidsroplanen714,714
20241110,Allsvenskan,30,Mjällby&nbspAIF –&nbspIFK&nbspGöteborg,L 1–0 (1–0),Strandvallen5 362,5362
20241102,Allsvenskan,29,IFK&nbspGöteborg – Kalmar&nbspFF,D 1–1 (1–0),Gamla&nbspUllevi17 287,17287
20241028,Allsvenskan,28,Malmö&nbspFF –&nbspIFK&nbspGöteborg,L 2–1 (0–1),"Stadion,&nbspMalmö21 258",21258
20241021,Allsvenskan,27,IFK&nbspGöteborg – AIK,L 1–2 (0–1),Gamla&nbspUllevi17 165,17165
20241006,Allsvenskan,26,IFK&nbspNorrköping –&nbspIFK&nbspGöteborg,W 0–2 (0–1),Norrköpings&nbspIdrottspark8 767,8767
20240930,Allsvenskan,25,IFK&nbspGöteborg – GAIS,W 2–0 (1–0),Gamla&nbspUllevi18 051,18051
20240926,Allsvenskan,24,Västerås&nbspSK –&nbspIFK&nbspGöteborg,D 1–1 (0–1),Hitachi&nbspEnergy&nbspArena6 252,6252
20240923,Allsvenskan,23,IFK&nbspGöteborg – Halmstads&nbspBK,D 1–1 (0–0),Gamla&nbspUllevi16 065,16065
20240915,Allsvenskan,22,BK&nbspHäcken –&nbspIFK&nbspGöteborg,D 3–3 (1–2),Bravida&nbspArena6 316,6316
20240901,Allsvenskan,21,IFK&nbspGöteborg – Hammarby&nbspIF,L 0–1 (0–0),Gamla&nbspUllevi17 151,17151
20240825,Allsvenskan,20,IF&nbspElfsborg –&nbspIFK&nbspGöteborg,L 3–1 (1–0),Borås&nbspArena13 533,13533
20240822,Svenska cupen,2,Ariana&nbspFC –&nbspIFK&nbspGöteborg,W 0–2 (0–0),Malmö&nbspStadion1 000,1000
20240817,Allsvenskan,19,IFK&nbspGöteborg – IK&nbspSirius,D 1–1 (0–0),Gamla&nbspUllevi15 804,15804
20240810,Allsvenskan,18,IFK&nbspGöteborg – IFK&nbspVärnamo,D 0–0 (0–0),Gamla&nbspUllevi15 761,15761
20240804,Allsvenskan,17,Djurgårdens&nbspIF –&nbspIFK&nbspGöteborg,D 1–1 (1–1),Tele2&nbspArena23 418,23418
20240727,Allsvenskan,16,IFK&nbspGöteborg – IF&nbspBrommapojkarna,L 3–4 (1–1),Gamla&nbspUllevi16 268,16268
20240721,Allsvenskan,15,IFK&nbspGöteborg – Västerås&nbspSK,D 1–1 (0–0),Gamla&nbspUllevi17 137,17137
20240715,Allsvenskan,14,Hammarby&nbspIF –&nbspIFK&nbspGöteborg,W 0–1 (0–1),Tele2&nbspArena26 062,26062
20240707,Allsvenskan,13,IFK&nbspVärnamo –&nbspIFK&nbspGöteborg,L 2–0 (0–0),Finnvedsvallen4 277,4277
20240625,Vänskapsmatch,N/A,IFK&nbspGöteborg – IFK&nbspNorrköping,W 1–0 (1–0),Ullevi1 110,1110
20240620,Vänskapsmatch,N/A,Lillestrøm&nbspSK –&nbspIFK&nbspGöteborg,L 2–0 (1–0),Vigernesjordet50,50
20240601,Allsvenskan,12,IFK&nbspGöteborg – IF&nbspElfsborg,W 1–0 (1–0),Gamla&nbspUllevi17 183,17183
20240527,Allsvenskan,11,AIK –&nbspIFK&nbspGöteborg,L 5–2 (1–1),Friends&nbspArena25 932,25932
20240521,Allsvenskan,10,IFK&nbspGöteborg – Mjällby&nbspAIF,W 1–0 (0–0),Gamla&nbspUllevi15 743,15743
20240516,Allsvenskan,9,IK&nbspSirius –&nbspIFK&nbspGöteborg,D 2–2 (1–0),Studenternas&nbspIdrottsplats6 961,6961
20240513,Allsvenskan,8,IFK&nbspGöteborg – Malmö&nbspFF,L 0–3 (0–2),Gamla&nbspUllevi17 316,17316
20240506,Allsvenskan,7,GAIS –&nbspIFK&nbspGöteborg,L 2–1 (1–0),Gamla&nbspUllevi16 646,16646
20240429,Allsvenskan,6,IF&nbspBrommapojkarna –&nbspIFK&nbspGöteborg,W 0–3 (0–1),Grimsta&nbspIdrottsplats2 289,2289
20240424,Allsvenskan,5,IFK&nbspGöteborg – BK&nbspHäcken,L 0–1 (0–1),Gamla&nbspUllevi17 022,17022
20240420,Allsvenskan,4,IFK&nbspGöteborg – IFK&nbspNorrköping,D 1–1 (1–1),Gamla&nbspUllevi16 861,16861
20240414,Allsvenskan,3,Kalmar&nbspFF –&nbspIFK&nbspGöteborg,W 0–1 (0–0),Guldfågeln&nbspArena6 576,6576
20240407,Allsvenskan,2,Halmstads&nbspBK –&nbspIFK&nbspGöteborg,L 1–0 (1–0),Örjans&nbspvall10 011,10011
20240401,Allsvenskan,1,IFK&nbspGöteborg – Djurgårdens&nbspIF,L 1–4 (0–2),Gamla&nbspUllevi17 879,17879
20240323,Vänskapsmatch,N/A,IFK&nbspGöteborg – Sarpsborg&nbsp08&nbspFF,L 0–3 (0–2),Bravida&nbspArena1 600,1600
20240315,Vänskapsmatch,N/A,Hammarby&nbspIF –&nbspIFK&nbspGöteborg,W 1–3 (0–1),Tele2&nbspArena,
20240308,Vänskapsmatch,N/A,IFK&nbspGöteborg – Östers&nbspIF,W 2–1 (2–1),Bravida&nbspArena,
20240303,Svenska cupen,Grupp 4,Djurgårdens&nbspIF –&nbspIFK&nbspGöteborg,L 3–0 (0–0),Tele2&nbspArena16 684,16684
20240225,Svenska cupen,Grupp 4,IFK&nbspGöteborg – Skövde&nbspAIK,W 1–0 (0–0),Bravida&nbspArena5 074,5074
20240218,Svenska cupen,Grupp 4,Nordic&nbspUnited&nbspFC –&nbspIFK&nbspGöteborg,W 3–4 (2–1),Södertälje&nbspFotbollsarena1 400,1400
20240209,Vänskapsmatch,N/A,IFK&nbspGöteborg – Brøndby&nbspIF,W 3–1 (3–0),Estádio&nbspMunicipal&nbspda&nbspBela&nbspVista50,50
20240205,Vänskapsmatch,N/A,IFK&nbspGöteborg – CD&nbspMafra,L 1–7 (0–5),Estádio&nbspMunicipal&nbspda&nbspBela&nbspVista50,50
20240202,Vänskapsmatch,N/A,IFK&nbspGöteborg – Silkeborg&nbspIF,L 2–3 (0–2),Estádio&nbspAlgarve50,50
20240126,Vänskapsmatch,N/A,IFK&nbspGöteborg – Halmstads&nbspBK,L 0–1 (0–0),Valhalla&nbspIdrottsplats2 282,2282
20240119,Vänskapsmatch,N/A,Vendsyssel&nbspFF –&nbspIFK&nbspGöteborg,L 1–0 (1–0),Højene&nbspStadion300,300
20231112,Allsvenskan,30,Varbergs&nbspBoIS –&nbspIFK&nbspGöteborg,W 1–2 (0–0),Påskbergsvallen3 713,3713
20231106,Allsvenskan,29,IFK&nbspGöteborg – AIK,D 1–1 (1–0),Gamla&nbspUllevi17 116,17116
20231030,Allsvenskan,28,IFK&nbspGöteborg – IF&nbspElfsborg,L 1–2 (0–1),Gamla&nbspUllevi17 228,17228
20231023,Allsvenskan,27,IFK&nbspVärnamo –&nbspIFK&nbspGöteborg,L 3–1 (0–1),Finnvedsvallen3 269,3269
20231007,Allsvenskan,26,IFK&nbspGöteborg – IK&nbspSirius,L 0–1 (0–0),Gamla&nbspUllevi17 099,17099
20231001,Allsvenskan,25,Hammarby&nbspIF –&nbspIFK&nbspGöteborg,D 1–1 (0–0),Tele2&nbspArena25 784,25784
20230924,Allsvenskan,24,Mjällby&nbspAIF –&nbspIFK&nbspGöteborg,W 0–1 (0–0),Strandvallen5 186,5186
20230916,Allsvenskan,23,IFK&nbspGöteborg – IF&nbspBrommapojkarna,W 1–0 (0–0),Gamla&nbspUllevi16 191,16191
20230903,Allsvenskan,22,Malmö&nbspFF –&nbspIFK&nbspGöteborg,D 2–2 (0–2),"Stadion,&nbspMalmö20 907",20907
20230827,Allsvenskan,21,IFK&nbspGöteborg – BK&nbspHäcken,W 4–2 (3–0),Gamla&nbspUllevi17 875,17875
20230823,Svenska cupen,2,IK&nbspZenith –&nbspIFK&nbspGöteborg,W 0–2 (0–1),Hovgårdsvallen4 041,4041
20230819,Allsvenskan,20,Degerfors&nbspIF –&nbspIFK&nbspGöteborg,W 1–2 (0–0),Stora&nbspValla5 880,5880
20230813,Allsvenskan,19,IFK&nbspGöteborg – Djurgårdens&nbspIF,W 2–1 (0–1),Gamla&nbspUllevi16 729,16729
20230807,Allsvenskan,18,IFK&nbspNorrköping –&nbspIFK&nbspGöteborg,L 3–0 (2–0),Norrköpings&nbspIdrottspark9 390,9390
20230730,Allsvenskan,17,IFK&nbspGöteborg – Kalmar&nbspFF,W 2–0 (1–0),Gamla&nbspUllevi15 055,15055
20230723,Allsvenskan,16,IFK&nbspGöteborg – Halmstads&nbspBK,D 0–0 (0–0),Gamla&nbspUllevi16 110,16110
20230716,Allsvenskan,15,IF&nbspElfsborg –&nbspIFK&nbspGöteborg,D 1–1 (0–1),Borås&nbspArena14 379,14379
20230710,Allsvenskan,14,IFK&nbspGöteborg – Varbergs&nbspBoIS,L 1–2 (0–0),Gamla&nbspUllevi15 687,15687
20230702,Allsvenskan,13,Halmstads&nbspBK –&nbspIFK&nbspGöteborg,D 0–0 (0–0),Örjans&nbspvall9 804,9804
20230625,Vänskapsmatch,N/A,Malmö&nbspFF –&nbspIFK&nbspGöteborg,W 0–1 (0–1),"Stadion,&nbspMalmö4 930",4930
20230611,Allsvenskan,12,IK&nbspSirius –&nbspIFK&nbspGöteborg,L 2–0 (1–0),Studenternas&nbspIdrottsplats6 876,6876
20230603,Allsvenskan,11,IFK&nbspGöteborg – Mjällby&nbspAIF,L 0–1 (0–0),Gamla&nbspUllevi14 616,14616
20230529,Allsvenskan,10,BK&nbspHäcken –&nbspIFK&nbspGöteborg,L 4–1 (1–1),Bravida&nbspArena6 141,6141
20230521,Allsvenskan,9,IFK&nbspGöteborg – Hammarby&nbspIF,D 1–1 (0–1),Gamla&nbspUllevi17 289,17289
20230515,Allsvenskan,8,AIK –&nbspIFK&nbspGöteborg,D 2–2 (1–1),Friends&nbspArena21 113,21113
20230508,Allsvenskan,7,IF&nbspBrommapojkarna –&nbspIFK&nbspGöteborg,D 0–0 (0–0),Grimsta&nbspIdrottsplats2 556,2556
20230504,Allsvenskan,6,IFK&nbspGöteborg – Degerfors&nbspIF,W 6–0 (3–0),Gamla&nbspUllevi13 644,13644
20230501,Allsvenskan,5,IFK&nbspGöteborg – IFK&nbspNorrköping,D 1–1 (1–1),Gamla&nbspUllevi14 983,14983
20230423,Allsvenskan,4,Djurgårdens&nbspIF –&nbspIFK&nbspGöteborg,L 1–0 (1–0),Tele2&nbspArena22 529,22529
20230417,Allsvenskan,3,IFK&nbspGöteborg – Malmö&nbspFF,L 0–1 (0–1),Gamla&nbspUllevi17 051,17051
20230409,Allsvenskan,2,Kalmar&nbspFF –&nbspIFK&nbspGöteborg,L 2–0 (1–0),Guldfågeln&nbspArena8 902,8902
20230402,Allsvenskan,1,IFK&nbspGöteborg – IFK&nbspVärnamo,L 0–1 (0–0),Gamla&nbspUllevi16 180,16180
20230325,Vänskapsmatch,N/A,IFK&nbspGöteborg – Sarpsborg&nbsp08&nbspFF,D 1–1 (1–1),Valhalla&nbspIdrottsplats,
20230318,Vänskapsmatch,N/A,IFK&nbspGöteborg – Jönköpings&nbspSödra&nbspIF,W 1–0 (0–0),Valhalla&nbspIdrottsplats,
20230310,Vänskapsmatch,N/A,IFK&nbspGöteborg – IFK&nbspMariehamn,D 1–1 (1–0),Valhalla&nbspIdrottsplats355,355
20230305,Svenska cupen,Grupp 7,IFK&nbspGöteborg – IFK&nbspNorrköping,L 0–4 (0–2),Bravida&nbspArena4 379,4379
20230226,Svenska cupen,Grupp 7,GAIS –&nbspIFK&nbspGöteborg,L 2–1 (0–1),Bravida&nbspArena5 375,5375
20230220,Svenska cupen,Grupp 7,IFK&nbspGöteborg – Utsiktens&nbspBK,W 3–2 (3–1),Bravida&nbspArena3 259,3259
20230211,Vänskapsmatch,N/A,Viborg&nbspFF –&nbspIFK&nbspGöteborg,L 3–0 (2–0),Pinatar&nbspArena250,250
20230206,Vänskapsmatch,N/A,Tromsø&nbspIL –&nbspIFK&nbspGöteborg,W 0–2 (0–2),Albir&nbspGarden&nbspPitch75,75
20230128,Vänskapsmatch,N/A,IFK&nbspGöteborg – Halmstads&nbspBK,D 1–1 (1–1),Valhalla&nbspIdrottsplats2 056,2056
20230120,Vänskapsmatch,N/A,IFK&nbspGöteborg – Degerfors&nbspIF,W 4–1 (1–0),Valhalla&nbspIdrottsplats2 254,2254
20221106,Allsvenskan,30,IFK&nbspVärnamo –&nbspIFK&nbspGöteborg,W 1–4 (0–1),Finnvedsvallen3 494,3494
20221030,Allsvenskan,29,IFK&nbspGöteborg – BK&nbspHäcken,L 0–4 (0–3),Gamla&nbspUllevi18 056,18056
20221024,Allsvenskan,28,IFK&nbspGöteborg – AIK,W 1–0 (0–0),Gamla&nbspUllevi15 595,15595
20221020,Allsvenskan,27,Degerfors&nbspIF –&nbspIFK&nbspGöteborg,L 3–1 (0–1),Stora&nbspValla3 389,3389
20221017,Allsvenskan,26,IFK&nbspGöteborg – Malmö&nbspFF,W 2–1 (0–0),Gamla&nbspUllevi14 011,14011
20221009,Allsvenskan,25,GIF&nbspSundsvall –&nbspIFK&nbspGöteborg,L 3–2 (3–0),Sundsvalls&nbspIdrottspark3 010,3010
20221003,Allsvenskan,24,IFK&nbspGöteborg – IF&nbspElfsborg,L 1–3 (1–2),Gamla&nbspUllevi13 471,13471
20220918,Allsvenskan,23,Djurgårdens&nbspIF –&nbspIFK&nbspGöteborg,L 3–0 (2–0),Tele2&nbspArena21 735,21735
20220912,Allsvenskan,22,IFK&nbspGöteborg – Helsingborgs&nbspIF,L 1–3 (1–2),Gamla&nbspUllevi12 581,12581
20220905,Allsvenskan,21,Mjällby&nbspAIF –&nbspIFK&nbspGöteborg,W 1–4 (0–3),Strandvallen3 611,3611
20220831,Svenska cupen,2,Torns&nbspIF –&nbspIFK&nbspGöteborg,W 0–3 (0–1),Tornvallen1 843,1843
20220828,Allsvenskan,20,IFK&nbspGöteborg – IK&nbspSirius,W 2–0 (1–0),Gamla&nbspUllevi12 587,12587
20220822,Allsvenskan,19,Kalmar&nbspFF –&nbspIFK&nbspGöteborg,L 1–0 (0–0),Guldfågeln&nbspArena8 260,8260
20220815,Allsvenskan,18,IFK&nbspGöteborg – Hammarby&nbspIF,L 0–1 (0–0),Gamla&nbspUllevi17 351,17351
20220808,Allsvenskan,17,Varbergs&nbspBoIS –&nbspIFK&nbspGöteborg,W 0–4 (0–1),Påskbergsvallen4 450,4450
20220801,Allsvenskan,16,IFK&nbspGöteborg – IFK&nbspNorrköping,W 2–0 (1–0),Gamla&nbspUllevi15 085,15085
20220725,Allsvenskan,15,IFK&nbspNorrköping –&nbspIFK&nbspGöteborg,W 0–2 (0–1),Norrköpings&nbspIdrottspark9 544,9544
20220717,Allsvenskan,14,IFK&nbspGöteborg – Mjällby&nbspAIF,D 1–1 (1–0),Gamla&nbspUllevi14 989,14989
20220711,Allsvenskan,13,Hammarby&nbspIF –&nbspIFK&nbspGöteborg,L 3–0 (1–0),Tele2&nbspArena28 837,28837
20220704,Allsvenskan,12,IFK&nbspGöteborg – Degerfors&nbspIF,W 2–0 (2–0),Gamla&nbspUllevi14 109,14109
20220627,Allsvenskan,11,IK&nbspSirius –&nbspIFK&nbspGöteborg,W 1–2 (1–1),Studenternas&nbspIdrottsplats6 194,6194
20220617,Vänskapsmatch,N/A,Trelleborgs&nbspFF –&nbspIFK&nbspGöteborg,W 0–2 (0–0),Vångavallen,
20220611,Vänskapsmatch,N/A,Fredrikstad&nbspFK –&nbspIFK&nbspGöteborg,L 3–1 (2–1),"Stadion,&nbspFredrikstad200",200
20220528,Allsvenskan,10,IFK&nbspGöteborg – GIF&nbspSundsvall,W 2–0 (0–0),Gamla&nbspUllevi12 068,12068
20220522,Allsvenskan,9,IF&nbspElfsborg –&nbspIFK&nbspGöteborg,L 3–1 (2–1),Borås&nbspArena13 126,13126
20220515,Allsvenskan,8,IFK&nbspGöteborg – Varbergs&nbspBoIS,D 1–1 (1–0),Gamla&nbspUllevi13 306,13306
20220507,Allsvenskan,7,AIK –&nbspIFK&nbspGöteborg,L 1–0 (0–0),Friends&nbspArena27 175,27175
20220502,Allsvenskan,6,IFK&nbspGöteborg – Kalmar&nbspFF,L 1–2 (1–0),Gamla&nbspUllevi14 147,14147
20220425,Allsvenskan,5,Malmö&nbspFF –&nbspIFK&nbspGöteborg,L 1–0 (0–0),"Stadion,&nbspMalmö19 785",19785
20220420,Allsvenskan,4,IFK&nbspGöteborg – Djurgårdens&nbspIF,D 1–1 (1–0),Gamla&nbspUllevi16 170,16170
20220417,Allsvenskan,3,BK&nbspHäcken –&nbspIFK&nbspGöteborg,W 0–2 (0–1),Bravida&nbspArena6 278,6278
20220410,Allsvenskan,2,Helsingborgs&nbspIF –&nbspIFK&nbspGöteborg,W 0–1 (0–1),Olympia11 407,11407
20220403,Allsvenskan,1,IFK&nbspGöteborg – IFK&nbspVärnamo,W 2–1 (1–0),Gamla&nbspUllevi16 794,16794
20220326,Vänskapsmatch,N/A,IFK&nbspGöteborg – Fredrikstad&nbspFK,W 3–0 (2–0),Ullevi,
20220318,Vänskapsmatch,N/A,IFK&nbspGöteborg – Norrby&nbspIF,L 0–3 (0–1),Valhalla&nbspIdrottsplats,
20220313,Svenska cupen,Kvartsfinal,IF&nbspElfsborg –&nbspIFK&nbspGöteborg,L 1–0 (0–0),Borås&nbspArena5 293,5293
20220306,Svenska cupen,Grupp 8,IFK&nbspGöteborg – Mjällby&nbspAIF,D 2–2 (1–2),Valhalla&nbspIdrottsplats2 517,2517
20220226,Svenska cupen,Grupp 8,Norrby&nbspIF –&nbspIFK&nbspGöteborg,D 1–1 (0–0),Borås&nbspArena2 043,2043
20220222,Vänskapsmatch,N/A,IFK&nbspGöteborg – Utsiktens&nbspBK,D 1–1 (0–1),Valhalla&nbspIdrottsplats380,380
20220220,Svenska cupen,Grupp 8,IFK&nbspGöteborg – Landskrona&nbspBoIS,W 2–0 (1–0),Valhalla&nbspIdrottsplats2 553,2553
20220210,Vänskapsmatch,N/A,IFK&nbspGöteborg – FK&nbspLokomotiv&nbspMoskva,L 2–4 (2–1),Marbella&nbspFootball&nbspCenter,
20220205,Vänskapsmatch,N/A,IFK&nbspGöteborg – Hammarby&nbspIF,L 0–2 (0–1),Marbella&nbspFootball&nbspCenter,
20220131,Vänskapsmatch,N/A,FC&nbspNordsjælland –&nbspIFK&nbspGöteborg,L 3–0 (3–0),Right&nbspto&nbspDream&nbspPark,
20211204,Allsvenskan,30,IFK&nbspNorrköping –&nbspIFK&nbspGöteborg,W 1–2 (1–1),Norrköpings&nbspIdrottspark3 221,3221
20211128,Allsvenskan,29,IFK&nbspGöteborg – Östersunds&nbspFK,W 4–0 (2–0),Gamla&nbspUllevi10 824,10824
20211121,Allsvenskan,28,IK&nbspSirius –&nbspIFK&nbspGöteborg,D 3–3 (2–2),Studenternas&nbspIdrottsplats4 197,4197
20211107,Allsvenskan,27,IFK&nbspGöteborg – Malmö&nbspFF,L 0–2 (0–1),Gamla&nbspUllevi16 781,16781
20211101,Allsvenskan,26,Degerfors&nbspIF –&nbspIFK&nbspGöteborg,W 0–1 (0–1),Stora&nbspValla4 086,4086
20211028,Allsvenskan,25,IFK&nbspGöteborg – Djurgårdens&nbspIF,W 3–0 (1–0),Gamla&nbspUllevi12 251,12251
20211024,Allsvenskan,24,Mjällby&nbspAIF –&nbspIFK&nbspGöteborg,W 1–3 (0–1),Strandvallen4 216,4216
20211017,Allsvenskan,23,IFK&nbspGöteborg – Örebro&nbspSK,W 2–0 (1–0),Gamla&nbspUllevi13 345,13345
20211001,Allsvenskan,22,IF&nbspElfsborg –&nbspIFK&nbspGöteborg,L 1–0 (0–0),Borås&nbspArena11 285,11285
20210927,Allsvenskan,21,IFK&nbspGöteborg – Kalmar&nbspFF,L 0–2 (0–1),Ullevi6 384,6384
20210923,Allsvenskan,20,Hammarby&nbspIF –&nbspIFK&nbspGöteborg,L 3–0 (2–0),Tele2&nbspArena9 655,9655
20210920,Allsvenskan,19,AIK –&nbspIFK&nbspGöteborg,L 3–1 (3–1),Friends&nbspArena14 077,14077
20210912,Allsvenskan,18,IFK&nbspGöteborg – Halmstads&nbspBK,W 2–0 (1–0),Ullevi7 101,7101
20210829,Allsvenskan,17,BK&nbspHäcken –&nbspIFK&nbspGöteborg,L 3–2 (2–1),Bravida&nbspArena1 820,1820
20210823,Allsvenskan,16,IFK&nbspGöteborg – Varbergs&nbspBoIS,L 1–2 (0–1),Ullevi8 062,8062
20210817,Svenska cupen,Omg. 1-2,Österlen&nbspFF –&nbspIFK&nbspGöteborg,W 0–3 (0–2),Skillinge&nbspIdrottsplats1 300,1300
20210814,Allsvenskan,15,Malmö&nbspFF –&nbspIFK&nbspGöteborg,W 2–3 (1–1),"Stadion,&nbspMalmö5 652",5652
20210808,Allsvenskan,14,IFK&nbspGöteborg – Hammarby&nbspIF,D 0–0 (0–0),Ullevi9 337,9337
20210802,Allsvenskan,13,IFK&nbspGöteborg – IFK&nbspNorrköping,L 1–2 (0–2),Ullevi9 742,9742
20210726,Allsvenskan,12,Varbergs&nbspBoIS –&nbspIFK&nbspGöteborg,L 2–0 (1–0),Påskbergsvallen608,608
20210718,Allsvenskan,11,IFK&nbspGöteborg – Mjällby&nbspAIF,W 3–2 (1–1),Ullevi9 031,9031
20210711,Allsvenskan,10,Östersunds&nbspFK –&nbspIFK&nbspGöteborg,W 2–3 (0–2),Jämtkraft&nbspArena1 380,1380
20210705,Allsvenskan,9,IFK&nbspGöteborg – IF&nbspElfsborg,L 0–1 (0–0),Ullevi8 773,8773
20210623,Vänskapsmatch,N/A,IFK&nbspGöteborg – Brøndby&nbspIF,L 1–2 (1–0),Ullevi500,500
20210523,Allsvenskan,8,Djurgårdens&nbspIF –&nbspIFK&nbspGöteborg,D 0–0 (0–0),Tele2&nbspArena8,8
20210517,Allsvenskan,7,IFK&nbspGöteborg – IK&nbspSirius,D 2–2 (1–1),Ullevi8,8
20210512,Allsvenskan,6,Kalmar&nbspFF –&nbspIFK&nbspGöteborg,D 0–0 (0–0),Guldfågeln&nbspArena8,8
20210508,Allsvenskan,5,IFK&nbspGöteborg – BK&nbspHäcken,D 1–1 (0–0),Ullevi8,8
20210502,Allsvenskan,4,Halmstads&nbspBK –&nbspIFK&nbspGöteborg,D 1–1 (1–0),Örjans&nbspvall8,8
20210426,Allsvenskan,3,IFK&nbspGöteborg – Degerfors&nbspIF,L 2–3 (0–2),Ullevi8,8
20210419,Allsvenskan,2,IFK&nbspGöteborg – AIK,W 2–0 (2–0),Ullevi8,8
20210410,Allsvenskan,1,Örebro&nbspSK –&nbspIFK&nbspGöteborg,D 0–0 (0–0),Behrn&nbspArena8,8
20210402,Vänskapsmatch,N/A,IFK&nbspGöteborg – IFK&nbspVärnamo,D 3–3 (1–2),Valhalla&nbspIdrottsplats,
20210326,Vänskapsmatch,N/A,Malmö&nbspFF –&nbspIFK&nbspGöteborg,L 2–1 (0–1),"Stadion,&nbspMalmö",
20210319,Vänskapsmatch,N/A,IFK&nbspGöteborg – Landskrona&nbspBoIS,W 4–0 (2–0),Valhalla&nbspIdrottsplats,
20210313,Vänskapsmatch,N/A,IFK&nbspGöteborg – IK&nbspSirius,W 1–0 (0–0),Linköping&nbspArena,
20210307,Svenska cupen,Grupp 6,IFK&nbspNorrköping –&nbspIFK&nbspGöteborg,D 1–1 (1–1),Norrköpings&nbspIdrottspark,
20210228,Svenska cupen,Grupp 6,IFK&nbspGöteborg – GIF&nbspSundsvall,D 1–1 (0–0),Valhalla&nbspIdrottsplats,
20210220,Svenska cupen,Grupp 6,Sandvikens&nbspIF –&nbspIFK&nbspGöteborg,W 3–4 (1–1),Jernvallen8,8
20210213,Vänskapsmatch,N/A,Helsingborgs&nbspIF –&nbspIFK&nbspGöteborg,D 0–0 (0–0),Olympiafältet,
20210209,Vänskapsmatch,N/A,IFK&nbspGöteborg – Degerfors&nbspIF,D 2–2 (0–0),Valhalla&nbspIdrottsplats,
20210205,Vänskapsmatch,N/A,IFK&nbspGöteborg – Halmstads&nbspBK,D 1–1 (0–1),Valhalla&nbspIdrottsplats,
20201206,Allsvenskan,30,IFK&nbspGöteborg – IK&nbspSirius,W 2–0 (1–0),Gamla&nbspUllevi,
20201129,Allsvenskan,29,Östersunds&nbspFK –&nbspIFK&nbspGöteborg,W 0–4 (0–2),Jämtkraft&nbspArena,
20201123,Allsvenskan,28,IFK&nbspGöteborg – BK&nbspHäcken,D 1–1 (1–1),Gamla&nbspUllevi,
20201108,Allsvenskan,27,Helsingborgs&nbspIF –&nbspIFK&nbspGöteborg,W 0–1 (0–1),Olympia,
20201101,Allsvenskan,26,IFK&nbspGöteborg – Örebro&nbspSK,L 0–1 (0–1),Gamla&nbspUllevi,
20201025,Allsvenskan,25,Malmö&nbspFF –&nbspIFK&nbspGöteborg,L 3–1 (2–1),"Stadion,&nbspMalmö",
20201018,Allsvenskan,24,AIK –&nbspIFK&nbspGöteborg,L 2–0 (1–0),Friends&nbspArena,
20201004,Allsvenskan,23,IFK&nbspGöteborg – Varbergs&nbspBoIS,W 1–0 (1–0),Gamla&nbspUllevi,
20200930,Svenska cupen,2,Husqvarna&nbspFF –&nbspIFK&nbspGöteborg,W 1–3 (1–3),Vapenvallen49,49
20200927,Allsvenskan,22,IF&nbspElfsborg –&nbspIFK&nbspGöteborg,D 0–0 (0–0),Borås&nbspArena,
20200920,Allsvenskan,21,IFK&nbspGöteborg – Kalmar&nbspFF,L 1–2 (0–1),Gamla&nbspUllevi,
20200917,Europa League,Kvalomg. 2,IFK&nbspGöteborg – FC&nbspKøbenhavn,L 1–2 (0–0),Ullevi,
20200913,Allsvenskan,20,Falkenbergs&nbspFF –&nbspIFK&nbspGöteborg,W 0–3 (0–2),Falkenbergs&nbspIdrottsplats,
20200910,Allsvenskan,19,IFK&nbspGöteborg – Hammarby&nbspIF,L 0–4 (0–1),Gamla&nbspUllevi,
20200830,Allsvenskan,18,Mjällby&nbspAIF –&nbspIFK&nbspGöteborg,D 1–1 (0–1),Strandvallen,
20200822,Allsvenskan,17,Djurgårdens&nbspIF –&nbspIFK&nbspGöteborg,D 2–2 (0–1),Tele2&nbspArena,
20200817,Allsvenskan,16,IFK&nbspGöteborg – IFK&nbspNorrköping,L 1–3 (0–2),Gamla&nbspUllevi,
20200813,Allsvenskan,15,Kalmar&nbspFF –&nbspIFK&nbspGöteborg,D 1–1 (1–1),Guldfågeln&nbspArena,
20200809,Allsvenskan,14,Örebro&nbspSK –&nbspIFK&nbspGöteborg,D 1–1 (0–0),Behrn&nbspArena,
20200806,Allsvenskan,13,IFK&nbspGöteborg – Östersunds&nbspFK,D 2–2 (1–2),Gamla&nbspUllevi,
20200802,Allsvenskan,12,IFK&nbspGöteborg – Malmö&nbspFF,L 0–3 (0–0),Gamla&nbspUllevi,
20200730,Svenska cupen,Final,IFK&nbspGöteborg – Malmö&nbspFF,W 2–1 (0–1),Gamla&nbspUllevi,
20200726,Allsvenskan,11,BK&nbspHäcken –&nbspIFK&nbspGöteborg,D 0–0 (0–0),Bravida&nbspArena,
