Datum,Matchtyp,Omgång,Match,Resultat,Spelplats,Publik
19760815,Division 2 Södra,16,IFK&nbspMalmö –&nbspIFK&nbspGöteborg,W 1–3 (0–1),Malmö&nbspStadion5 188,5188
19760808,Division 2 Södra,15,IFK&nbspGöteborg – IS&nbspHalmia,W 3–2 (1–1),Ullevi12 836,12836
19760804,Division 2 Södra,14,Helsingborgs&nbspIF –&nbspIFK&nbspGöteborg,W 0–1 (0–1),Olympia7 853,7853
19760729,Vänskapsmatch,N/A,IFK&nbspUddevalla –&nbspIFK&nbspGöteborg,W 4–6,Rimnersvallen,
19760726,Vänskapsmatch,N/A,IFK&nbspGöteborg – PSV&nbspEindhoven,W 1–0 (1–0),Ullevi29 865,29865
19760724,Vänskapsmatch,N/A,Smögens&nbspIF –&nbspIFK&nbspGöteborg,W 3–13 (2–7),Havsvallen1 200,1200
19760723,Vänskapsmatch,N/A,Henåns&nbspIF –&nbspIFK&nbspGöteborg,W 0–5,Hällevi&nbspIdrottsplats,
19760721,Vänskapsmatch,N/A,Stenungsunds&nbspIF –&nbspIFK&nbspGöteborg,W 3–7,Stenungsunds&nbspIdrottsplats,
19760701,Vänskapsmatch,N/A,Notvikens&nbspSK –&nbspIFK&nbspGöteborg,W 0–3,Skogsvallen,
19760629,Vänskapsmatch,N/A,Flarkenkomb. –&nbspIFK&nbspGöteborg,W 1–6,Bergvallen,
19760627,Vänskapsmatch,N/A,Piteåkomb. –&nbspIFK&nbspGöteborg,W 1–10,"Hedens&nbspIdrottsplats,&nbspStorfors",
19760625,Vänskapsmatch,N/A,Älvsby&nbspIF –&nbspIFK&nbspGöteborg,W 0–4,Älvåkra&nbspIdrottsplats,
19760623,Division 2 Södra,13,IFK&nbspGöteborg – Helsingborgs&nbspIF,W 3–1 (1–0),Ullevi18 625,18625
19760620,Division 2 Södra,12,Motala&nbspAIF –&nbspIFK&nbspGöteborg,W 0–1 (0–0),Motala&nbspIdrottspark6 553,6553
19760617,Division 2 Södra,11,IFK&nbspGöteborg – Emmaboda&nbspIS,W 5–1 (2–0),Ullevi11 828,11828
19760610,Division 2 Södra,10,IFK&nbspGöteborg – IFK&nbspMalmö,L 1–2 (0–1),Ullevi16 671,16671
19760607,Division 2 Södra,9,IS&nbspHalmia –&nbspIFK&nbspGöteborg,W 2–3 (2–2),Örjans&nbspvall6 283,6283
19760527,Vänskapsmatch,N/A,Arentorpskomb. –&nbspIFK&nbspGöteborg,W 0–5,Kedumsvallen,
19760525,Division 2 Södra,8,IFK&nbspGöteborg – Trollhättans&nbspIF,W 5–2 (2–1),Ullevi13 833,13833
19760520,Division 2 Södra,7,GAIS –&nbspIFK&nbspGöteborg,W 1–3 (1–1),Ullevi50 690,50690
19760516,Division 2 Södra,6,Jönköpings&nbspSödra&nbspIF –&nbspIFK&nbspGöteborg,W 0–4 (0–0),Stadsparksvallen9 486,9486
19760512,Vänskapsmatch,N/A,IK&nbspKongahälla –&nbspIFK&nbspGöteborg,W 1–6,Kongevi&nbspIdrottsplats,
19760508,Division 2 Södra,5,IFK&nbspGöteborg – Norrby&nbspIF,W 1–0 (1–0),Ullevi17 824,17824
19760503,Division 2 Södra,4,Grimsås&nbspIF –&nbspIFK&nbspGöteborg,W 2–3 (0–2),Grimsborgs&nbspIdrottsplats4 995,4995
19760424,Division 2 Södra,3,IFK&nbspGöteborg – Råå&nbspIF,W 3–1 (1–1),Ullevi13 869,13869
19760419,Division 2 Södra,2,IFK&nbspHässleholm –&nbspIFK&nbspGöteborg,W 0–1 (0–1),Österås&nbspIdrottsplats4 703,4703
19760410,Division 2 Södra,1,IFK&nbspGöteborg – KB&nbspKarlskoga,W 3–0 (1–0),Ullevi14 306,14306
19760404,Vänskapsmatch,N/A,IFK&nbspGöteborg – Östers&nbspIF,L 2–3,Ullevi3 230,3230
19760331,Triangelserien,N/A,GAIS –&nbspIFK&nbspGöteborg,W 0–2 (0–1),Ullevi4 202,4202
19760328,Triangelserien,N/A,IFK&nbspGöteborg – Örgryte&nbspIS,W 2–0 (1–0),Ullevi3 193,3193
19760320,Vänskapsmatch,N/A,AIK –&nbspIFK&nbspGöteborg,W 0–3 (0–0),Råsunda&nbspFotbollsstadion889,889
19760314,Vänskapsmatch,N/A,IFK&nbspGöteborg – IFK&nbspUlricehamn,W 5–0 (2–0),Valhalla&nbspIdrottsplats509,509
19760306,Vänskapsmatch,N/A,IFK&nbspGöteborg – IF&nbspElfsborg,W 1–0 (1–0),Valhalla&nbspIdrottsplats,
19760228,Vänskapsmatch,N/A,IFK&nbspGöteborg – BK&nbspHäcken,W 3–0,Valhalla&nbspIdrottsplats,
19760221,Vänskapsmatch,N/A,IFK&nbspGöteborg – Lillestrøm&nbspSK,W 3–0 (1–0),Valhalla&nbspIdrottsplats,
19760218,Vänskapsmatch,N/A,IFK&nbspGöteborg – Jonsereds&nbspIF,W 3–1,Valhalla&nbspIdrottsplats,
19760201,Vänskapsmatch,N/A,IFK&nbspGöteborg – Göteborgs&nbspFF,W 5–0,Valhalla&nbspIdrottsplats,
19760124,Vänskapsmatch,N/A,IFK&nbspGöteborg – Hovås&nbspIF,W 1–0,Valhalla&nbspIdrottsplats,
19760117,Vänskapsmatch,N/A,IFK&nbspGöteborg – Göteborgs&nbspAIK,L 0–1,Valhalla&nbspIdrottsplats,
19760110,Vänskapsmatch,N/A,IFK&nbspGöteborg – Västra&nbspFrölunda&nbspIF,W 2–1,Valhalla&nbspIdrottsplats,
19751112,Vänskapsmatch,N/A,IFK&nbspGöteborg – Malmö&nbspFF,W 3–2 (1–2),Ullevi5 141,5141
19751108,Svenska cupen,Kvartsfinal,Malmö&nbspFF –&nbspIFK&nbspGöteborg,D 1–1 (0–0),Malmö&nbspStadion2 799,2799
19751101,Svenska cupen,1,IFK&nbspGöteborg – Örebro&nbspSK,W 3–1 (1–0),Ullevi5 085,5085
19751019,Division 2 Södra,26,Emmaboda&nbspIS –&nbspIFK&nbspGöteborg,W 1–5 (1–1),Emmaboda&nbspIdrottsplats2 900,2900
19751011,Division 2 Södra,25,IFK&nbspGöteborg – IFK&nbspHässleholm,W 3–0 (0–0),Ullevi10 770,10770
19751005,Division 2 Södra,24,Jönköpings&nbspSödra&nbspIF –&nbspIFK&nbspGöteborg,W 0–2 (0–2),Stadsparksvallen5 567,5567
19750927,Division 2 Södra,23,IFK&nbspGöteborg – KB&nbspKarlskoga,D 0–0 (0–0),Ullevi12 299,12299
19750921,Division 2 Södra,22,Skövde&nbspAIK –&nbspIFK&nbspGöteborg,W 0–2 (0–1),Södermalms&nbspIdrottsplats5 405,5405
19750914,Division 2 Södra,21,IFK&nbspGöteborg – IS&nbspHalmia,W 5–0 (2–0),Ullevi18 088,18088
19750907,Division 2 Södra,20,IFK&nbspMalmö –&nbspIFK&nbspGöteborg,D 1–1 (1–0),Malmö&nbspStadion6 150,6150
19750829,Division 2 Södra,19,IFK&nbspGöteborg – Blomstermåla&nbspIK,W 5–0 (2–0),Ullevi16 436,16436
19750825,Division 2 Södra,18,IFK&nbspGöteborg – Trollhättans&nbspIF,W 6–1 (2–0),Ullevi19 871,19871
19750819,Division 2 Södra,17,Grimsås&nbspIF –&nbspIFK&nbspGöteborg,W 1–3 (0–1),Grimsborgs&nbspIdrottsplats4 311,4311
19750810,Division 2 Södra,16,IFK&nbspGöteborg – Västra&nbspFrölunda&nbspIF,W 3–1 (0–0),Ullevi7 086,7086
