Namn,I Blåvitt,Matcher,Mål,Allsvenska Matcher,Allsvenska Mål
RYDBERG Gunnar,1921-1935/36,463,317,243,144
SANDSTRÖM Herbert,1921-1927/28,91,31,16,2
SKOGLUND Vallentin,1921-1922,17,0,0,0
ANDERSSON Stellan,1922-1923/24,13,5,0,0
FRIBERG Harry,"1922, 1928/29, 1930/31",3,0,0,0
HJELM Alf,1922-1923/24,10,5,0,0
HJELM Harry,1922-1923/24,5,0,0,0
JOHANSSON Charles,1922,2,0,0,0
JOHANSSON Gunnar,1922-1924/25,22,14,2,2
LJUNGGREN Nils,1922,1,0,0,0
LUNDGREN Herbert,"1922, 1925/26-1926/27, 1929/30, 1931/32",8,0,0,0
RYDBERG Olof,1922-1923/24,8,0,0,0
ANDERSSON John,1923/24,1,0,0,0
ANDERSSON Verner,1923/24-1929/30,135,14,84,1
AUGUSTSSON Torsten,1923/24,1,0,0,0
FREDRIKSSON Georg,1923/24,2,0,0,0
HANSSON Åke,1923/24-1929/30,177,7,106,5
JOHANSSON Henry,1923/24,2,0,0,0
JOHANSSON Ragnar,1923/24,2,0,0,0
JOHANSSON Torsten,1923/24,1,0,0,0
KLINGSTRÖM Ivar,1923/24,1,0,0,0
KOLLBERG Gunnar,1923/24,3,0,0,0
KRISTIANSSON Albert,1923/24,1,0,0,0
LOVÉN G.,1923/24,2,0,0,0
NÖJD Elof,1923/24,6,1,3,0
RYDBERG Anders,1923/24-1938/39,464,0,291,0
STÅHLFORS Helge,1923/24-1924/25,2,0,0,0
SUNDVALL Verner,1923/24,2,0,0,0
ALFREDSSON Axel,1924/25,4,0,0,0
ANDERSSON Helge,1924/25,2,0,2,0
BENGTSSON Algot,1924/25-1931/32,234,3,148,1
CARLSSON Algot,1924/25,1,0,1,0
HOLMBERG Karl-Erik,"1924/25, 1929/30, 1931/32",3,2,0,0
JOHANSSON Filip,1924/25-1932/33,277,329,180,179
KOCK Rudolf,1924/25,4,0,0,0
LARSSON Otto,1924/25,1,0,0,0
LUNDQVIST Evert,1924/25,1,0,0,0
WENZEL Rune,1924/25,1,0,0,0
ÖSTLUND Ernst,1924/25-1931/32,220,43,134,28
HAAK Einar,1925/26,20,3,11,1
HELLSTRÖM John,1925/26,2,0,2,0
HJÄRN Olof,1925/26,1,0,0,0
LARSSON Gustaf,1925/26,5,0,0,0
MATTIASSON Allan,"1925/26-1926/27, 1933/34",14,13,10,8
RYDELL Sven,"1925/26, 1932/33",2,4,0,0
SVENSSON Ragnar,1925/26,9,0,6,0
WESTLUND Gustav,1925/26,5,0,0,0
ANDERSSON Ivar,1926/27,1,0,0,0
BERNDTSSON Elis,1926/27,10,0,8,0
GUSTAFSSON Gustaf,"1926/27, 1931/32",2,0,0,0
HYSÉN Erik,"1926/27-1931/32, 1933/34-1937/38",184,48,120,23
JANSSON Henry,1926/27,5,1,4,1
JANSSON Hilding,1926/27,1,0,0,0
ROSÉN Folke,1926/27,2,2,1,0
SAMUELSSON Herbert,1926/27-1931/32,176,1,122,1
THORIN Karl,1926/27,8,0,4,0
ZACHAROFF Gunnar,1926/27,5,0,0,0
ABRAHAMSSON Henok,1927/28-1932/33,16,0,0,0
ANDERSSON Ernst,1927/28-1942/43,468,14,275,3
ANDERSSON John,1927/28-1928/29,9,3,4,0
BERGMAN Evert,1927/28,3,2,1,0
JOHANSSON Bertil,1927/28-1928/29,14,3,7,2
PETERSSON Frank,"1927/28, 1929/30-1930/31, 1932/33",13,6,2,1
SKÖLD Folke,1927/28,1,0,0,0
BERGSTRÖM Algot,1928/29-1931/32,76,34,44,14
ERIKSSON Elis,"1928/29-1929/30, 1931/32-1932/33",11,8,3,3
HÖIJER Gotthard,1928/29-1929/30,11,5,5,0
ÅKERVALL Mauritz,1928/29-1932/33,21,0,7,0
ALMBORG Henry,1929/30,1,0,0,0
ANDERSSON Gösta,1929/30-1935/36,188,89,117,46
HEDELIN Yngve,1929/30-1930/31,8,0,1,0
JANSSON Arne,1929/30,2,1,0,0
JOHANSSON Olof,"1929/30-1930/31, 1932/33-1936/37",49,3,26,1
KÄLLBERG Sven,1929/30,1,0,0,0
LARSSON Torild,1929/30-1933/34,117,0,70,0
LILJEBJÖRN Helge,"1929/30, 1933/34",2,0,0,0
JANSSON Ragnar,1930/31,1,0,0,0
LARSSON Erik,1930/31-1933/34,10,0,4,0
MATTSSON Bruno,1930/31,1,0,0,0
REIS Gunnar,1930/31-1934/35,128,65,77,30
BERG Fritz,1931/32-1943/44,278,4,169,2
BERGMAN Uno,1931/32-1935/36,27,10,17,3
JONSSON Helge,1931/32-1938/39,118,47,75,31
LÖFGREN Gunnar,1931/32-1938/39,186,19,121,10
OLSÉN Sigfrid,1931/32,4,0,4,0
